epsilon_tag,video_id,question_count,family_count,families,tag_count,original_accuracy,karl_accuracy,accuracy_delta,fixed_count,lost_count,kept_correct_count,kept_wrong_count,mixed_delta,any_changed
eps_007,video_1611,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.5714285714285714,0.42857142857142855,-0.14285714285714285,1,2,2,2,1,1
eps_007,video_1805,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.7142857142857143,0.5714285714285714,-0.1428571428571429,1,2,3,1,1,1
eps_007,video_4664,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.42857142857142855,0.5714285714285714,0.14285714285714285,2,1,2,2,1,1
eps_005,video_76,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.8333333333333334,0.16666666666666674,2,1,3,0,1,1
eps_007,video_1686,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.5,-0.16666666666666663,1,2,2,1,1,1
eps_007,video_4185,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8333333333333334,0.6666666666666666,-0.16666666666666674,1,2,3,0,1,1
eps_007,video_8504,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.5,-0.16666666666666663,1,2,2,1,1,1
eps_007,video_8013,5,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.4,0.6,0.19999999999999996,2,1,1,1,1,1
eps_003,video_4839,10,4,object_counting;recognition_control;spatial_relations;temporal_event,7,0.8,0.8,0.0,1,1,7,1,1,1
eps_003,video_132,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.2857142857142857,0.2857142857142857,0.0,1,1,1,4,1,1
eps_003,video_1611,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.5714285714285714,0.5714285714285714,0.0,1,1,3,2,1,1
eps_003,video_304,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.5714285714285714,0.5714285714285714,0.0,1,1,3,2,1,1
eps_005,video_1611,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.5714285714285714,0.5714285714285714,0.0,1,1,3,2,1,1
eps_005,video_1805,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.7142857142857143,0.7142857142857143,0.0,1,1,4,1,1,1
eps_005,video_853,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.7142857142857143,0.7142857142857143,0.0,1,1,4,1,1,1
eps_007,video_132,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.2857142857142857,0.2857142857142857,0.0,1,1,1,4,1,1
eps_003,video_10243,6,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.6666666666666666,0.6666666666666666,0.0,1,1,3,1,1,1
eps_003,video_4185,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8333333333333334,0.8333333333333334,0.0,1,1,4,0,1,1
eps_005,video_10243,6,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.6666666666666666,0.6666666666666666,0.0,1,1,3,1,1,1
eps_005,video_4185,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8333333333333334,0.8333333333333334,0.0,1,1,4,0,1,1
eps_007,video_1201,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,6,0.8333333333333334,0.8333333333333334,0.0,1,1,4,0,1,1
eps_007,video_2775,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.8333333333333334,0.8333333333333334,0.0,1,1,4,0,1,1
eps_007,video_3400,6,4,object_counting;recognition_control;spatial_relations;temporal_event,9,0.8333333333333334,0.8333333333333334,0.0,1,1,4,0,1,1
eps_007,video_4049,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.6666666666666666,0.0,1,1,3,1,1,1
eps_007,video_7978,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.6666666666666666,0.0,1,1,3,1,1,1
eps_007,video_9160,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.6666666666666666,0.0,1,1,3,1,1,1
eps_007,video_9874,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.6666666666666666,0.0,1,1,3,1,1,1
eps_005,video_3189,7,4,object_counting;recognition_control;spatial_relations;temporal_event,9,0.5714285714285714,0.14285714285714285,-0.42857142857142855,0,3,1,3,0,1
eps_005,video_8158,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.8571428571428571,0.42857142857142855,-0.42857142857142855,0,3,3,1,0,1
eps_007,video_3189,7,4,object_counting;recognition_control;spatial_relations;temporal_event,9,0.5714285714285714,0.14285714285714285,-0.42857142857142855,0,3,1,3,0,1
eps_005,video_3400,6,4,object_counting;recognition_control;spatial_relations;temporal_event,9,0.8333333333333334,0.3333333333333333,-0.5,0,3,2,1,0,1
eps_003,video_11516,11,4,object_counting;recognition_control;spatial_relations;temporal_event,7,0.7272727272727273,0.9090909090909091,0.18181818181818177,2,0,8,1,0,1
eps_005,video_11516,11,4,object_counting;recognition_control;spatial_relations;temporal_event,7,0.7272727272727273,0.9090909090909091,0.18181818181818177,2,0,8,1,0,1
eps_005,video_2867,8,4,object_counting;recognition_control;spatial_relations;temporal_event,10,0.625,0.375,-0.25,0,2,3,3,0,1
eps_007,video_2867,8,4,object_counting;recognition_control;spatial_relations;temporal_event,10,0.625,0.375,-0.25,0,2,3,3,0,1
eps_003,video_10969,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0,2,3,2,0,1
eps_003,video_3189,7,4,object_counting;recognition_control;spatial_relations;temporal_event,9,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0,2,2,3,0,1
eps_003,video_6172,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.5714285714285714,0.8571428571428571,0.2857142857142857,2,0,4,1,0,1
eps_003,video_8158,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.8571428571428571,0.5714285714285714,-0.2857142857142857,0,2,4,1,0,1
eps_003,video_8944,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8571428571428571,0.5714285714285714,-0.2857142857142857,0,2,4,1,0,1
eps_005,video_10969,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0,2,3,2,0,1
eps_005,video_11439,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0,2,3,2,0,1
eps_005,video_1411,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0,2,3,2,0,1
eps_005,video_6172,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.5714285714285714,0.8571428571428571,0.2857142857142857,2,0,4,1,0,1
eps_005,video_6354,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0,2,2,3,0,1
eps_007,video_287,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0,2,3,2,0,1
eps_007,video_304,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.5714285714285714,0.8571428571428571,0.2857142857142857,2,0,4,1,0,1
eps_007,video_6253,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0,2,3,2,0,1
eps_007,video_6354,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0,2,2,3,0,1
eps_007,video_8158,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.8571428571428571,0.5714285714285714,-0.2857142857142857,0,2,4,1,0,1
eps_003,video_3400,6,4,object_counting;recognition_control;spatial_relations;temporal_event,9,0.8333333333333334,0.5,-0.33333333333333337,0,2,3,1,0,1
eps_003,video_4049,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0,2,2,2,0,1
eps_003,video_7318,6,4,object_counting;recognition_control;spatial_relations;temporal_event,9,0.8333333333333334,0.5,-0.33333333333333337,0,2,3,1,0,1
eps_005,video_4049,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0,2,2,2,0,1
eps_005,video_7318,6,4,object_counting;recognition_control;spatial_relations;temporal_event,9,0.8333333333333334,0.5,-0.33333333333333337,0,2,3,1,0,1
eps_007,video_1779,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.5,0.16666666666666666,-0.33333333333333337,0,2,1,3,0,1
eps_007,video_7318,6,4,object_counting;recognition_control;spatial_relations;temporal_event,9,0.8333333333333334,0.5,-0.33333333333333337,0,2,3,1,0,1
eps_007,video_8127,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,0,2,2,0,1
eps_003,video_2867,8,4,object_counting;recognition_control;spatial_relations;temporal_event,10,0.625,0.5,-0.125,0,1,4,3,0,1
eps_003,video_10404,7,4,object_counting;recognition_control;spatial_relations;temporal_event,10,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0,1,4,2,0,1
eps_003,video_1087,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0,1,3,3,0,1
eps_003,video_11439,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0,1,4,2,0,1
eps_003,video_1411,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0,1,4,2,0,1
eps_003,video_1805,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.7142857142857143,0.8571428571428571,0.1428571428571428,1,0,5,1,0,1
eps_003,video_6253,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0,1,4,2,0,1
eps_003,video_6354,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0,1,3,3,0,1
eps_005,video_10404,7,4,object_counting;recognition_control;spatial_relations;temporal_event,10,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0,1,4,2,0,1
eps_005,video_6253,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0,1,4,2,0,1
eps_005,video_8944,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8571428571428571,0.7142857142857143,-0.1428571428571428,0,1,5,1,0,1
eps_007,video_10404,7,4,object_counting;recognition_control;spatial_relations;temporal_event,10,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0,1,4,2,0,1
eps_007,video_1411,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0,1,4,2,0,1
eps_007,video_8179,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.42857142857142855,0.5714285714285714,0.14285714285714285,1,0,3,3,0,1
eps_007,video_853,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.7142857142857143,0.8571428571428571,0.1428571428571428,1,0,5,1,0,1
eps_007,video_8944,7,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8571428571428571,0.7142857142857143,-0.1428571428571428,0,1,5,1,0,1
eps_007,video_9767,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.42857142857142855,0.5714285714285714,0.14285714285714285,1,0,3,3,0,1
eps_003,video_105,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0,1,4,1,0,1
eps_003,video_1686,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.5,-0.16666666666666663,0,1,3,2,0,1
eps_003,video_2775,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0,1,4,1,0,1
eps_003,video_3720,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,1.0,0.8333333333333334,-0.16666666666666663,0,1,5,0,0,1
eps_003,video_4439,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.5,-0.16666666666666663,0,1,3,2,0,1
eps_003,video_76,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.8333333333333334,0.16666666666666674,1,0,4,1,0,1
eps_003,video_7673,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.5,-0.16666666666666663,0,1,3,2,0,1
eps_003,video_7978,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.8333333333333334,0.16666666666666674,1,0,4,1,0,1
eps_003,video_8504,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.8333333333333334,0.16666666666666674,1,0,4,1,0,1
eps_005,video_105,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0,1,4,1,0,1
eps_005,video_11398,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.8333333333333334,0.16666666666666674,1,0,4,1,0,1
eps_005,video_1201,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,6,0.8333333333333334,1.0,0.16666666666666663,1,0,5,0,0,1
eps_005,video_1614,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.5,-0.16666666666666663,0,1,3,2,0,1
eps_005,video_1686,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.5,-0.16666666666666663,0,1,3,2,0,1
eps_005,video_1779,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.5,0.3333333333333333,-0.16666666666666669,0,1,2,3,0,1
eps_005,video_2775,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0,1,4,1,0,1
eps_005,video_3498,6,4,object_counting;recognition_control;spatial_relations;temporal_event,9,0.5,0.3333333333333333,-0.16666666666666669,0,1,2,3,0,1
eps_005,video_3720,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,1.0,0.8333333333333334,-0.16666666666666663,0,1,5,0,0,1
eps_005,video_4439,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.5,-0.16666666666666663,0,1,3,2,0,1
eps_005,video_7978,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.8333333333333334,0.16666666666666674,1,0,4,1,0,1
eps_005,video_8504,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.8333333333333334,0.16666666666666674,1,0,4,1,0,1
eps_007,video_10243,6,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.6666666666666666,0.5,-0.16666666666666663,0,1,3,2,0,1
eps_007,video_105,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0,1,4,1,0,1
eps_007,video_10528,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0,1,4,1,0,1
eps_007,video_11197,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0,1,4,1,0,1
eps_007,video_11398,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.8333333333333334,0.16666666666666674,1,0,4,1,0,1
eps_007,video_3498,6,4,object_counting;recognition_control;spatial_relations;temporal_event,9,0.5,0.3333333333333333,-0.16666666666666669,0,1,2,3,0,1
eps_007,video_3720,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,1.0,0.8333333333333334,-0.16666666666666663,0,1,5,0,0,1
eps_007,video_4439,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.5,-0.16666666666666663,0,1,3,2,0,1
eps_007,video_5201,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.5,-0.16666666666666663,0,1,3,2,0,1
eps_007,video_7673,6,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.6666666666666666,0.5,-0.16666666666666663,0,1,3,2,0,1
eps_003,video_8013,5,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.4,0.6,0.19999999999999996,1,0,2,2,0,1
eps_003,video_9004,5,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8,0.6,-0.20000000000000007,0,1,3,1,0,1
eps_003,video_949,5,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,7,0.4,0.2,-0.2,0,1,1,3,0,1
eps_005,video_8013,5,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.4,0.6,0.19999999999999996,1,0,2,2,0,1
eps_005,video_9004,5,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8,0.6,-0.20000000000000007,0,1,3,1,0,1
eps_005,video_949,5,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,7,0.4,0.2,-0.2,0,1,1,3,0,1
eps_007,video_8553,5,4,object_counting;occlusion_permanence;recognition_control;temporal_event,5,0.2,0.0,-0.2,0,1,0,4,0,1
eps_007,video_8795,5,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,7,0.6,0.4,-0.19999999999999996,0,1,2,2,0,1
eps_007,video_9004,5,4,occlusion_permanence;recognition_control;spatial_relations;temporal_event,7,0.8,0.6,-0.20000000000000007,0,1,3,1,0,1
eps_007,video_949,5,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,7,0.4,0.2,-0.2,0,1,1,3,0,1
